START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,AVERAGE_STEP,DURATION,TYPE
1626479640000,1626479700000,9,2021-07-17 08:54:00,2021-07-17 08:55:00,12.0,0.0,12.0,1,PHONE
1626506100000,1626506160000,9,2021-07-17 16:15:00,2021-07-17 16:16:00,0.0,23.0,23.0,1,WEARABLE
1626506220000,1626506280000,9,2021-07-17 16:17:00,2021-07-17 16:18:00,0.0,15.0,15.0,1,WEARABLE
1626506280000,1626506400000,9,2021-07-17 16:18:00,2021-07-17 16:20:00,107.0,113.0,110.0,2,BOTH
1626506400000,1626506460000,9,2021-07-17 16:20:00,2021-07-17 16:21:00,0.0,21.0,21.0,1,WEARABLE
1626507120000,1626507180000,9,2021-07-17 16:32:00,2021-07-17 16:33:00,0.0,29.0,29.0,1,WEARABLE
1626507180000,1626507480000,9,2021-07-17 16:33:00,2021-07-17 16:38:00,321.0,249.0,285.0,5,BOTH
1626507480000,1626507540000,9,2021-07-17 16:38:00,2021-07-17 16:39:00,11.0,0.0,11.0,1,PHONE
1626507540000,1626507600000,9,2021-07-17 16:39:00,2021-07-17 16:40:00,7.0,7.0,7.0,1,BOTH
1626508680000,1626508740000,9,2021-07-17 16:58:00,2021-07-17 16:59:00,0.0,10.0,10.0,1,WEARABLE
1626508980000,1626509100000,9,2021-07-17 17:03:00,2021-07-17 17:05:00,0.0,64.0,64.0,2,WEARABLE
1626509280000,1626509340000,9,2021-07-17 17:08:00,2021-07-17 17:09:00,0.0,22.0,22.0,1,WEARABLE
1626509700000,1626509940000,9,2021-07-17 17:15:00,2021-07-17 17:19:00,0.0,60.0,60.0,4,WEARABLE
1626510000000,1626510120000,9,2021-07-17 17:20:00,2021-07-17 17:22:00,77.0,46.0,61.5,2,BOTH
1626510120000,1626510180000,9,2021-07-17 17:22:00,2021-07-17 17:23:00,0.0,19.0,19.0,1,WEARABLE
1626510180000,1626510300000,9,2021-07-17 17:23:00,2021-07-17 17:25:00,110.0,85.0,97.5,2,BOTH
1626510300000,1626510420000,9,2021-07-17 17:25:00,2021-07-17 17:27:00,32.0,0.0,32.0,2,PHONE
1626510480000,1626510600000,9,2021-07-17 17:28:00,2021-07-17 17:30:00,110.0,0.0,110.0,2,PHONE
1626510600000,1626510660000,9,2021-07-17 17:30:00,2021-07-17 17:31:00,46.0,46.0,46.0,1,BOTH
1626511440000,1626511680000,9,2021-07-17 17:44:00,2021-07-17 17:48:00,148.0,113.0,130.5,4,BOTH
1626511680000,1626511800000,9,2021-07-17 17:48:00,2021-07-17 17:50:00,0.0,42.0,42.0,2,WEARABLE
1626511860000,1626511980000,9,2021-07-17 17:51:00,2021-07-17 17:53:00,0.0,45.0,45.0,2,WEARABLE
1626512160000,1626512220000,9,2021-07-17 17:56:00,2021-07-17 17:57:00,0.0,12.0,12.0,1,WEARABLE
1626512520000,1626512640000,9,2021-07-17 18:02:00,2021-07-17 18:04:00,0.0,53.0,53.0,2,WEARABLE
1626513000000,1626513120000,9,2021-07-17 18:10:00,2021-07-17 18:12:00,0.0,58.0,58.0,2,WEARABLE
1626513240000,1626513480000,9,2021-07-17 18:14:00,2021-07-17 18:18:00,0.0,94.0,94.0,4,WEARABLE
1626513600000,1626513660000,9,2021-07-17 18:20:00,2021-07-17 18:21:00,0.0,31.0,31.0,1,WEARABLE
1626513840000,1626514140000,9,2021-07-17 18:24:00,2021-07-17 18:29:00,0.0,49.0,49.0,5,WEARABLE
1626514200000,1626514260000,9,2021-07-17 18:30:00,2021-07-17 18:31:00,0.0,10.0,10.0,1,WEARABLE
1626514320000,1626514740000,9,2021-07-17 18:32:00,2021-07-17 18:39:00,0.0,124.0,124.0,7,WEARABLE
1626514800000,1626514920000,9,2021-07-17 18:40:00,2021-07-17 18:42:00,0.0,34.0,34.0,2,WEARABLE
1626514980000,1626515040000,9,2021-07-17 18:43:00,2021-07-17 18:44:00,0.0,20.0,20.0,1,WEARABLE
1626515640000,1626515760000,9,2021-07-17 18:54:00,2021-07-17 18:56:00,0.0,26.0,26.0,2,WEARABLE
1626516300000,1626516600000,9,2021-07-17 19:05:00,2021-07-17 19:10:00,0.0,203.0,203.0,5,WEARABLE
1626517260000,1626517320000,9,2021-07-17 19:21:00,2021-07-17 19:22:00,0.0,15.0,15.0,1,WEARABLE
1626518400000,1626518580000,9,2021-07-17 19:40:00,2021-07-17 19:43:00,0.0,45.0,45.0,3,WEARABLE
1626518580000,1626518640000,9,2021-07-17 19:43:00,2021-07-17 19:44:00,33.0,11.0,22.0,1,BOTH
