START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,AVERAGE_STEP,DURATION,TYPE
1626455340000,1626455520000,9,2021-07-17 02:09:00,2021-07-17 02:12:00,40.0,0.0,40.0,3,PHONE
1626457320000,1626457380000,9,2021-07-17 02:42:00,2021-07-17 02:43:00,7.0,0.0,7.0,1,PHONE
1626488400000,1626488520000,9,2021-07-17 11:20:00,2021-07-17 11:22:00,44.0,0.0,44.0,2,PHONE
1626489000000,1626489060000,9,2021-07-17 11:30:00,2021-07-17 11:31:00,14.0,0.0,14.0,1,PHONE
1626491280000,1626491340000,9,2021-07-17 12:08:00,2021-07-17 12:09:00,11.0,0.0,11.0,1,PHONE
1626491520000,1626491580000,9,2021-07-17 12:12:00,2021-07-17 12:13:00,15.0,0.0,15.0,1,PHONE
1626491940000,1626492000000,9,2021-07-17 12:19:00,2021-07-17 12:20:00,25.0,0.0,25.0,1,PHONE
1626499200000,1626499260000,9,2021-07-17 14:20:00,2021-07-17 14:21:00,29.0,0.0,29.0,1,PHONE
1626499380000,1626499440000,9,2021-07-17 14:23:00,2021-07-17 14:24:00,28.0,0.0,28.0,1,PHONE
1626499980000,1626500220000,9,2021-07-17 14:33:00,2021-07-17 14:37:00,145.0,0.0,145.0,4,PHONE
1626500520000,1626500700000,9,2021-07-17 14:42:00,2021-07-17 14:45:00,124.0,0.0,124.0,3,PHONE
1626500760000,1626500820000,9,2021-07-17 14:46:00,2021-07-17 14:47:00,16.0,0.0,16.0,1,PHONE
1626504900000,1626505560000,9,2021-07-17 15:55:00,2021-07-17 16:06:00,693.0,0.0,693.0,11,PHONE
1626510720000,1626510960000,9,2021-07-17 17:32:00,2021-07-17 17:36:00,120.0,0.0,120.0,4,PHONE
1626517920000,1626518880000,9,2021-07-17 19:32:00,2021-07-17 19:48:00,863.0,0.0,863.0,16,PHONE
1626519060000,1626519240000,9,2021-07-17 19:51:00,2021-07-17 19:54:00,202.0,0.0,202.0,3,PHONE
1626519540000,1626519660000,9,2021-07-17 19:59:00,2021-07-17 20:01:00,78.0,0.0,78.0,2,PHONE
1626519900000,1626520140000,9,2021-07-17 20:05:00,2021-07-17 20:09:00,90.0,0.0,90.0,4,PHONE
1626522780000,1626522840000,9,2021-07-17 20:53:00,2021-07-17 20:54:00,8.0,0.0,8.0,1,PHONE
1626523200000,1626523380000,9,2021-07-17 21:00:00,2021-07-17 21:03:00,36.0,0.0,36.0,3,PHONE
1626523800000,1626523860000,9,2021-07-17 21:10:00,2021-07-17 21:11:00,14.0,0.0,14.0,1,PHONE
1626542940000,1626543060000,9,2021-07-18 02:29:00,2021-07-18 02:31:00,42.0,0.0,42.0,2,PHONE
1626576180000,1626576240000,9,2021-07-18 11:43:00,2021-07-18 11:44:00,26.0,0.0,26.0,1,PHONE
1626576900000,1626576960000,9,2021-07-18 11:55:00,2021-07-18 11:56:00,7.0,0.0,7.0,1,PHONE
1626577020000,1626577140000,9,2021-07-18 11:57:00,2021-07-18 11:59:00,23.0,0.0,23.0,2,PHONE
1626577500000,1626577560000,9,2021-07-18 12:05:00,2021-07-18 12:06:00,9.0,0.0,9.0,1,PHONE
1626577860000,1626577920000,9,2021-07-18 12:11:00,2021-07-18 12:12:00,23.0,0.0,23.0,1,PHONE
1626580200000,1626580320000,9,2021-07-18 12:50:00,2021-07-18 12:52:00,34.0,0.0,34.0,2,PHONE
1626580980000,1626581100000,9,2021-07-18 13:03:00,2021-07-18 13:05:00,10.0,0.0,10.0,2,PHONE
1626581280000,1626581340000,9,2021-07-18 13:08:00,2021-07-18 13:09:00,11.0,0.0,11.0,1,PHONE
1626581880000,1626581940000,9,2021-07-18 13:18:00,2021-07-18 13:19:00,16.0,0.0,16.0,1,PHONE
1626582240000,1626582360000,9,2021-07-18 13:24:00,2021-07-18 13:26:00,7.0,0.0,7.0,2,PHONE
1626587280000,1626587580000,9,2021-07-18 14:48:00,2021-07-18 14:53:00,103.0,0.0,103.0,5,PHONE
1626588600000,1626588720000,9,2021-07-18 15:10:00,2021-07-18 15:12:00,33.0,0.0,33.0,2,PHONE
1626591780000,1626591960000,9,2021-07-18 16:03:00,2021-07-18 16:06:00,198.0,0.0,198.0,3,PHONE
1626592020000,1626592200000,9,2021-07-18 16:07:00,2021-07-18 16:10:00,75.0,0.0,75.0,3,PHONE
1626592800000,1626592860000,9,2021-07-18 16:20:00,2021-07-18 16:21:00,18.0,0.0,18.0,1,PHONE
1626595140000,1626595320000,9,2021-07-18 16:59:00,2021-07-18 17:02:00,76.0,0.0,76.0,3,PHONE
1626597360000,1626597480000,9,2021-07-18 17:36:00,2021-07-18 17:38:00,97.0,0.0,97.0,2,PHONE
1626598140000,1626598320000,9,2021-07-18 17:49:00,2021-07-18 17:52:00,130.0,0.0,130.0,3,PHONE
1626598800000,1626598860000,9,2021-07-18 18:00:00,2021-07-18 18:01:00,7.0,0.0,7.0,1,PHONE
1626603960000,1626604020000,9,2021-07-18 19:26:00,2021-07-18 19:27:00,16.0,0.0,16.0,1,PHONE
1626612360000,1626612480000,9,2021-07-18 21:46:00,2021-07-18 21:48:00,31.0,0.0,31.0,2,PHONE
1626612660000,1626612780000,9,2021-07-18 21:51:00,2021-07-18 21:53:00,41.0,0.0,41.0,2,PHONE
1626630780000,1626630840000,9,2021-07-19 02:53:00,2021-07-19 02:54:00,24.0,0.0,24.0,1,PHONE
1626630900000,1626630960000,9,2021-07-19 02:55:00,2021-07-19 02:56:00,18.0,0.0,18.0,1,PHONE
1626662460000,1626662580000,9,2021-07-19 11:41:00,2021-07-19 11:43:00,38.0,0.0,38.0,2,PHONE
1626663600000,1626663660000,9,2021-07-19 12:00:00,2021-07-19 12:01:00,6.0,0.0,6.0,1,PHONE
1626663780000,1626663840000,9,2021-07-19 12:03:00,2021-07-19 12:04:00,13.0,0.0,13.0,1,PHONE
1626665100000,1626665160000,9,2021-07-19 12:25:00,2021-07-19 12:26:00,15.0,0.0,15.0,1,PHONE
1626666900000,1626667080000,9,2021-07-19 12:55:00,2021-07-19 12:58:00,53.0,0.0,53.0,3,PHONE
1626675660000,1626675720000,9,2021-07-19 15:21:00,2021-07-19 15:22:00,16.0,0.0,16.0,1,PHONE
1626679980000,1626680520000,9,2021-07-19 16:33:00,2021-07-19 16:42:00,709.0,0.0,709.0,9,PHONE
1626680640000,1626680700000,9,2021-07-19 16:44:00,2021-07-19 16:45:00,31.0,0.0,31.0,1,PHONE
1626682380000,1626682440000,9,2021-07-19 17:13:00,2021-07-19 17:14:00,45.0,0.0,45.0,1,PHONE
1626683160000,1626683220000,9,2021-07-19 17:26:00,2021-07-19 17:27:00,38.0,0.0,38.0,1,PHONE
1626683520000,1626683640000,9,2021-07-19 17:32:00,2021-07-19 17:34:00,60.0,0.0,60.0,2,PHONE
1626684000000,1626684060000,9,2021-07-19 17:40:00,2021-07-19 17:41:00,29.0,0.0,29.0,1,PHONE
