START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,AVERAGE_STEP,DURATION,TYPE
1648135320000,1648135380000,9,2022-03-25 00:22:00,2022-03-25 00:23:00,7.0,0.0,7.0,1,PHONE
1648135740000,1648135860000,9,2022-03-25 00:29:00,2022-03-25 00:31:00,13.0,0.0,13.0,2,PHONE
1648157580000,1648157880000,9,2022-03-25 06:33:00,2022-03-25 06:38:00,0.0,145.0,145.0,5,WEARABLE
1648157880000,1648158180000,9,2022-03-25 06:38:00,2022-03-25 06:43:00,240.0,304.0,272.0,5,BOTH
1648158180000,1648158240000,9,2022-03-25 06:43:00,2022-03-25 06:44:00,0.0,4.0,4.0,1,WEARABLE
1648158240000,1648158360000,9,2022-03-25 06:44:00,2022-03-25 06:46:00,15.0,0.0,15.0,2,PHONE
1648158480000,1648158540000,9,2022-03-25 06:48:00,2022-03-25 06:49:00,27.0,30.0,28.5,1,BOTH
1648158660000,1648158840000,9,2022-03-25 06:51:00,2022-03-25 06:54:00,324.0,317.0,320.5,3,BOTH
1648158900000,1648159020000,9,2022-03-25 06:55:00,2022-03-25 06:57:00,195.0,185.0,190.0,2,BOTH
1648159020000,1648159080000,9,2022-03-25 06:57:00,2022-03-25 06:58:00,0.0,22.0,22.0,1,WEARABLE
1648162200000,1648162320000,9,2022-03-25 07:50:00,2022-03-25 07:52:00,0.0,39.0,39.0,2,WEARABLE
1648162440000,1648162500000,9,2022-03-25 07:54:00,2022-03-25 07:55:00,21.0,0.0,21.0,1,PHONE
1648162500000,1648162740000,9,2022-03-25 07:55:00,2022-03-25 07:59:00,388.0,383.0,385.5,4,BOTH
1648162740000,1648162800000,9,2022-03-25 07:59:00,2022-03-25 08:00:00,11.0,0.0,11.0,1,PHONE
1648163040000,1648163160000,9,2022-03-25 08:04:00,2022-03-25 08:06:00,0.0,37.0,37.0,2,WEARABLE
1648163820000,1648163880000,9,2022-03-25 08:17:00,2022-03-25 08:18:00,0.0,22.0,22.0,1,WEARABLE
1648164000000,1648164240000,9,2022-03-25 08:20:00,2022-03-25 08:24:00,147.0,139.0,143.0,4,BOTH
1648164240000,1648164360000,9,2022-03-25 08:24:00,2022-03-25 08:26:00,0.0,19.0,19.0,2,WEARABLE
